artist_name,track_name,release_date,genre,lyrics
Beach House,Myth,2012,Indie,"TranslationsEspañolMyth Lyrics[Verse 1]
Drifting in and out, you see the road you're on
It came rollin' down your cheek, you say just what you mean
And in-between, it's never as it seems

[Chorus]
Help me to name it
Help me to name it

[Verse 2]
If you built yourself a myth, you'd know just what to give
What comes after this momentary bliss?
The consequence of what you do to me
[Chorus]
Help me to name it
Help me to name it

[Bridge]
Found yourself in a new direction
Arrows fallin' from the sun
Canyon callin', would they come to greet you?
Let you know you're not the only one

[Verse 3]
Can't keep hangin' on to what is dead and gone
If you built yourself a myth, you'd know just what to give
Materialize or let the ashes fly

[Chorus]
Help me to name it
Help me to name itYou might also like50Embed"
The Strokes,Last Nite,2001,Indie,"Last Nite Lyrics[Verse 1]
Last night, she said
""Oh, baby, I feel so down
Oh, it turn me off
When I feel left out""
So I, I turned 'round
Oh, baby, don't care no more
I know this for sure
I'm walking out that door
Well, I've been in town for just 'bout fifteen, oh, minutes now
And, baby, I feel so down
And I don't know why
I keep walking for miles
[Chorus]
And see people, they don't understand
No, girlfriends, they can't understand
Your grandsons, they won't understand
On top of this, I ain't ever gonna understand

[Verse 2]
Last night, she said
""Oh, baby, don't feel so down
Oh, it turn me off
When I feel left out""
So I, I turned 'round
Oh, baby, gonna be alright
It was a great, big lie
'Cause I left that night, yeah

[Instrumental Bridge]

[Chorus]
Oh, people, they don't understand
No, girlfriends, they don't understand
In spaceships, they won't understand
And me, I ain't ever gonna understand

[Verse 1]
Last night, she said
""Oh, baby, I feel so down
See, it turn me off
When I feel left out""
So I, I turned 'round
Oh, little girl, I don't care no more
I know this for sure
I'm walking out that door, yeahYou might also like38Embed"
Tame Impala,Feels Like We Only Go Backwards,2012,Indie,"TranslationsEspañolFeels Like We Only Go Backwards Lyrics[Chorus]
It feels like I only go backwards, baby
Every part of me says, ""Go ahead""
I got my hopes up again, oh no, not again
Feels like we only go backwards, darling

[Verse 1]
I know that you think you sound silly when you call my name
But I hear it inside my head all day
When I realise I'm just holding on to the hope that maybe
Your feelings don't show
[Chorus]
It feels like I only go backwards, baby
Every part of me says, ""Go ahead""
I got my hopes up again, oh no, not again
Feels like we only go backwards, darling

[Verse 2]
The seed of all this indecision isn't me, oh no
'Cause I decided long ago
But that's the way it seems to go
When trying so hard to get to something real
It feels

[Chorus]
It feels like I only go backwards, darling
Every part of me says, ""Go ahead""
I got my hopes up again, oh no, not again
Feels like we only go backwards, darling
It feels like I only go backwards, baby
Every part of me says, ""Go ahead""
I got my hopes up again, oh no, not again
Feels like we only go backwards, darling
It feels like I only go backwards, baby
Every part of me says, ""Go ahead""
I got my hopes up again, oh no, not again
Feels like we only go backwards, darlingYou might also like78Embed"
Radiohead,Creep,1993,Indie,"TranslationsDeutschEspañolCreep Lyrics[Verse 1]
When you were here before
Couldn't look you in the eye
You're just like an angel
Your skin makes me cry
You float like a feather
In a beautiful world
I wish I was special
You're so fuckin' special

[Chorus]
But I'm a creep
I'm a weirdo
What the hell am I doing here?
I don't belong here
[Verse 2]
I don't care if it hurts
I wanna have control
I want a perfect body
I want a perfect soul
I want you to notice
When I'm not around
You're so fuckin' special
I wish I was special

[Chorus]
But I'm a creep
I'm a weirdo
What the hell am I doing here?
I don't belong here
Oh, oh

[Bridge]
She's running out the door
She's running out
She run, run, run, run
Run

[Outro]
Whatever makes you happy
Whatever you want
You're so fuckin' special
I wish I was special
But I'm a creep
I'm a weirdo
What the hell am I doing here?
I don't belong here
I don't belong hereYou might also like273Embed"
Arctic Monkeys,Do I Wanna Know?,2013,Indie,"TranslationsEspañolFrançaisPortuguêsDo I Wanna Know? Lyrics[Verse 1]
Have you got colour in your cheeks?
Do you ever get that fear that you can't shift the tide
That sticks around like summat in your teeth?
Are there some aces up your sleeve?
Have you no idea that you're in deep?
I've dreamt about you nearly every night this week
How many secrets can you keep?
'Cause there's this tune I found
That makes me think of you somehow an' I play it on repeat
Until I fall asleep, spillin' drinks on my settee
[Pre-Chorus]
(Do I wanna know?) If this feelin' flows both ways?
(Sad to see you go) Was sorta hopin' that you'd stay
(Baby, we both know) That the nights were mainly made
For sayin' things that you can't say tomorrow day

[Chorus]
Crawlin' back to you
Ever thought of callin' when
You've had a few?
'Cause I always do
Maybe I'm too
Busy bein' yours
To fall for somebody new
Now, I've thought it through
Crawlin' back to you

[Verse 2]
So have you got the guts?
Been wonderin' if your heart's still open
And if so, I wanna know what time it shuts
Simmer down an' pucker up, I'm sorry to interrupt
It's just I'm constantly on the cusp of tryin' to kiss you
But I don't know if you feel the same as I do
But we could be together if you wanted to
You might also like[Pre-Chorus]
(Do I wanna know?) If this feelin' flows both ways?
(Sad to see you go) Was sorta hopin' that you'd stay
(Baby, we both know) That the nights were mainly made
For sayin' things that you can't say tomorrow day

[Chorus]
Crawlin' back to you (Crawlin' back to you)
Ever thought of callin' when
You've had a few? (Had a few)
'Cause I always do ('Cause I always do)
Maybe I'm too (Maybe I'm too busy)
Busy bein' yours (Bein' yours)
To fall for somebody new
Now, I've thought it through
Crawlin' back to you

[Outro]
(Do I wanna know?) If this feelin' flows both ways?
(Sad to see you go) Was sorta hopin' that you'd stay
(Baby, we both know) That the nights were mainly made
For sayin' things that you can't say tomorrow day
(Do I wanna know?) Too busy bein' yours to fall
(Sad to see you go) Ever thought of callin', darlin'?
(Do I wanna know?) Do you want me crawlin' back to you?857Embed"
The National,Bloodbuzz Ohio,2010,Indie,"Bloodbuzz Ohio Lyrics[Verse 1]
Stand up straight at the foot of your love, I
Lift my shirt up
Stand up straight at the foot of your love, I
I lift my shirt up

[Pre-Chorus]
I was carried to Ohio in a swarm of bees
I never married but Ohio don't remember me

[Verse 2]
Lay my head on the hood of your car, I
I take it too far
Lay my head on the hood of your car, I
Take it too far
[Chorus]
I still owe money to the money to the money I owe
I never thought about love when I thought about home
I still owe money to the money to the money I owe
The floors are fallin' down from everybody I know

[Post-Chorus]
I'm on a blood buzz, yes I am
I'm on a blood buzz
I'm on a blood buzz, God I am
I'm on a blood buzz

[Pre-Chorus]
I was carried to Ohio in a swarm of bees
I never married but Ohio don't remember me

[Chorus]
I still owe money to the money to the money I owe
I never thought about love when I thought about home
I still owe money to the money to the money I owe
The floors are fallin' down from everybody I know

[Post-Chorus]
I'm on a blood buzz, yes I am
I'm on a blood buzz
I'm on a blood buzz, God I am
I'm on a blood buzzYou might also like10Embed"
Bon Iver,Skinny Love,2008,Indie,"Skinny Love Lyrics[Verse 1]
Come on, skinny love, just last the year
Pour a little salt, we were never here
My my my, my my my, my my
Staring at the sink of blood and crushed veneer
I tell my love to wreck it all
Cut out all the ropes and let me fall
My my my, my my my, my my
Right in this moment, this order's tall

[Chorus]
And I told you to be patient
And I told you to be fine
And I told you to be balanced
And I told you to be kind
And in the morning I'll be with you
But it will be a different kind
And I'll be holding all the tickets
And you'll be owning all the fines
[Verse 2]
Come on, skinny love, what happened here?
Suckle on the hope in light brassieres
My my my, my my my, my my
Sullen load is full, so slow on the split

[Chorus]
And I told you to be patient
And I told you to be fine
And I told you to be balanced
And I told you to be kind
And now all your love is wasted
And then who the hell was I?
And I'm breaking at the britches
And at the end of all your lines

[Outro]
Who will love you?
Who will fight?
Who will fall far behind?You might also like162Embed"
Arcade Fire,Wake Up,2004,Indie,"Wake Up Lyrics[Verse 1]
Something filled up
My heart with nothing
Someone told me not to cry
But now that I'm older
My heart's colder
And I can see that it's a lie

[Verse 2]
Children, wake up
Hold your mistake up
Before they turn the summer into dust
If the children don't grow up
Our bodies get bigger but our hearts get torn up
We're just a million little gods causing rain storms
Turning every good thing to rust
I guess we'll just have to adjust

[Outro]
With my lightning bolts a-glowing
I can see where I am going to be
When the reaper he reaches and touches my hand

With my lightning bolts a-glowing
I can see where I am going
With my lightning bolts a-glowing
I can see where I am go-going

You better look out below!You might also like35Embed"
Vampire Weekend,A-Punk,2008,Indie,"A-Punk Lyrics[Verse 1]
Johanna drove slowly into the city
The Hudson River all filled with snow
She spied the ring on His Honor's finger
Oh, oh, oh

[Verse 2]
A thousand years in one piece of silver
She took it from his lily-white hand
Showed no fear, she'd seen the thing
In the young men's wing at Sloan-Kettering
[Chorus]
Look outside at the raincoats coming, say ""oh""
Look outside at the raincoats coming, say ""oh""

[Refrain]
'Ey, 'ey, 'ey, 'ey!
'Ey, 'ey, 'ey!

[Verse 3]
His Honor drove southward, seeking exotica
Down to the pueblo huts of New Mexico
Cut his teeth on turquoise harmonicas
Oh, oh, oh

[Verse 4]
I saw Johanna down in the subway
She took an apartment in Washington Heights
Half of the ring lies here with me
But the other half's at the bottom of the sea

[Chorus]
Look outside at the raincoats coming, say ""oh""
Look outside at the raincoats coming, say ""oh""
Look outside at the raincoats coming, say ""oh""
Look outside at the raincoats coming, say ""oh""
You might also like[Refrain]
'Ey, 'ey, 'ey, 'ey!
'Ey, 'ey, 'ey, 'ey!29Embed"
Neutral Milk Hotel,In The Aeroplane Over The Sea,1998,Indie,"In the Aeroplane Over the Sea Lyrics[Verse 1]
What a beautiful face
I have found in this place
That is circling all 'round the sun
What a beautiful dream
That could flash on the screen
In a blink of an eye and be gone from me
Soft and sweet
Let me hold it close and keep it here with me

[Verse 2]
And one day we will die
And our ashes will fly
From the aeroplane over the sea
But for now we are young
Let us lay in the sun
And count every beautiful thing we can see
Love to be
In the arms of all I'm keeping here with me
[Verse 3]
What a curious life
We have found here tonight
There is music that sounds from the street
There are lights in the clouds
Anna's ghost all around
Hear her voice as it's rolling and ringing through me
Soft and sweet
How the notes all bend and reach above the trees

[Bridge]
Now how I remember you
How I would push my fingers through
Your mouth to make those muscles move
That made your voice so smooth and sweet
But now we keep where we don't know
All secrets sleep in winter clothes
With the one you loved so long ago
Now he don't even know his name

[Verse 4]
What a beautiful face
I have found in this place
That is circling all 'round the sun
And when we meet on a cloud
I'll be laughing out loud
I'll be laughing with everyone I see
Can't believe
How strange it is to be anything at allYou might also like79Embed"
The Black Keys,Lonely Boy,2011,Indie,"Lonely Boy Lyrics[Verse 1]
Well, I'm so above you and it's plain to see
But I came to love you anyway
So you pulled my heart out and I don't mind bleedin'
Any old time you keep me waitin'
Waitin', waitin'

[Chorus]
Oh, oh, oh oh, I got a love that keeps me waiting
Oh, oh, oh, I got a love that keeps me waiting
I’m a lonely boy
I’m a lonely boy
Oh, oh, oh oh, I got a love that keeps me waiting
[Verse 2]
Well, your mama kept you, but your daddy left you
And I shoulda done you just the same
But I came to love you, am I born to bleed?
Any old time you keep me waitin'
Waitin', waitin'

[Chorus]
Oh, oh, oh oh, I got a love that keeps me waiting
Oh, oh, oh, I got a love that keeps me waiting
I’m a lonely boy
I’m a lonely boy
Oh, oh, oh oh, I got a love that keeps me waiting
Hey

[Instrumental Bridge]

[Chorus]
Oh, oh, oh oh, I got a love that keeps me waiting
Oh, oh, oh, I got a love that keeps me waiting
I’m a lonely boy
I’m a lonely boy
Oh, oh, oh oh, I got a love that keeps me waitingYou might also like43Embed"
Phoenix,Lisztomania,2009,Indie,"Lisztomania Lyrics[Verse 1]
So sentimental
Not sentimental, no
Romantic, not disgusting yet
Darling, I'm down and lonely
When with the fortunate only
I've been looking for something else
Do let, do let, do let
Jugulate, do let, do
Let's go slowly, discouraged
Distant from other interests
On your favorite weekend ending
This love's for gentlemen only
That's with the fortunate only
No, I gotta be someone else
These days, it comes, it comes, it comes
It comes, it comes and goes
[Chorus]
Lisztomania
Think less but see it grow
Like a riot, like a riot, oh
Not easily offended
Not hard to let it go
From a mess to the masses
Lisztomania
Think less but see it grow
Like a riot, like a riot, oh
Not easily offended
Not hard to let it go
From a mess to the masses

[Verse 2]
Follow, misguide, stand still
Disgust, discourage
On this precious weekend ending
This love's for gentlemen only
Wealthiest gentlemen only
And now that you're lonely
Do let, do let, do let
Jugulate, do let, do
Let's go slowly, discouraged
We'll burn the pictures instead
When it's all over, we can barely discuss
For one minute only
Not with the fortunate only
Thought it could have been something else
These days, it comes, it comes, it comes
It comes, it comes and goes
You might also like[Chorus]
Lisztomania
Think less but see it grow
Like a riot, like a riot, oh
Not easily offended
Know how to let it go
From a mess to the masses
Lisztomania
Think less but see it grow
Like a riot, like a riot, oh
Not easily offended
Know how to let it go
From a mess to the masses

[Bridge]
Ooh, this is showtime, this is showtime, this is showtime
Ooh, this is showtime, this is showtime, this is showtime
Time, time to show it off, time to show it off
It's time to show it off
Time, time to show it off, time to show it off
It's time to show it off

[Chorus]
From the mess to the masses
Lisztomania
Think less, but see it grow
Like a riot, like a riot, oh
Disgust, disgust, disgust, disgust, disgust, discouraged40Embed"
Grizzly Bear,Two Weeks,2009,Indie,"Two Weeks Lyrics[Intro]
Oh-oh-oh
Oh-oh-oh

[Verse 1]
Save up all the days
A routine malaise
Just like yesterday
I told you I would stay

[Refrain]
Oh-oh-oh
[Chorus]
Would you always? (Oh-oh-oh-oh)
Maybe sometimes? (Oh-oh-oh-oh)
Make it easy? (Oh-oh-oh-oh)
Take your time (Oh-oh-oh-oh)

[Refrain]
Oh-oh-oh

[Verse 2]
Think of all the ways
Momentary phase
Just like yesterday
I told you I would stay

[Verse 3]
Every time you try
Quarter half a mile
Just like yesterday
I told you I would stay (Oh-oh-oh)

[Chorus]
Would you always? (Oh-oh-oh-oh)
Maybe sometimes? (Oh-oh-oh-oh)
Make it easy? (Oh-oh-oh-oh)
Take your time (Oh-oh-oh-oh)
You might also like[Chorus]
Would you always? (Oh-oh-oh-oh)
Maybe sometimes? (Oh-oh-oh-oh)
Make it easy? (Oh-oh-oh-oh)
Take your time (Oh-oh-oh-oh)

[Bridge]
Always (Oh-oh-oh-oh)
Sometimes (Oh-oh-oh-oh)
Easy (Oh-oh-oh-oh)
Time (Oh-oh-oh-oh)

[Refrain]
Oh-oh-oh
Oh-oh-oh32Embed"
The Shins,New Slang,2001,Indie,"New Slang Lyrics[Intro]
Oooh, oooh, oooh, oooh, oooh
Oooh, oooh, oooh, oooh, oooh

[Verse 1]
Gold teeth and a curse for this town
Were all in my mouth
Only I don't know how
They got out, dear
Turn me back into the pet
I was when we met
I was happier then
With no mindset
[Chorus]
And if you took to me like
A gull takes to the wind
Well, I'd've jumped from my trees
And I'd've danced like the king of the eyesores
And the rest of our lives would've fared well

[Verse 2]
New slang when you notice the stripes
The dirt in your fries
Hope it's right when you die
Old and bony
Dawn breaks like a bull through the hall
Never should have called
But my head's to the wall
And I'm lonely

[Chorus]
And if you took to me like
A gull takes to the wind
Well, I'd've jumped from my trees
And I'd've danced like the king of the eyesores
And the rest of our lives would've fared well

[Guitar Solo]
You might also like[Verse 3]
Godspeed all the bakers at dawn
May they all cut their thumbs
And bleed into their buns
'Til they melt away

[Verse 4]
I'm looking in on the good life
I might be doomed never to find
Without a trust, a flaming field
Am I too dumb to refine?

[Chorus]
And if you took to me like
Well, I'd've danced like the queen of the eyesores
And the rest of our lives would've fared well

[Guitar Solo]

[Outro]
Oooh, oooh, oooh, oooh, oooh
Oooh, oooh, oooh, oooh, oooh30Embed"
